English,Thai,,Important,Date
wâay nám,swim,,TRUE,
roongraam,hotel,,TRUE,
phrùngnii,tomorrow,,TRUE,
jà,will,,TRUE,
wîng,running,pai wîng,TRUE,
khǒong,of (belongs to),,TRUE,
faan,girl/boyfriend,,TRUE,
mâa,mother,mâa khǒong khun,TRUE,
phûan,friend,,TRUE,
phûan phûan,friend,,TRUE,
kàp,with,,TRUE,
too moo,immigration,,TRUE,
sànǎam bin,airport,,TRUE,
ráp,pick up,,TRUE,
khrai,who/whom,khun rák khrai,TRUE,
kèng,good (skill),,TRUE,
aakàat,weather,,TRUE,
pai sòng,give a ride,,TRUE,
khon sèep,waiter,,TRUE,
phanrayan,wife,,TRUE,
săamii,husband,,TRUE,
leekhǎa,secretary,,TRUE,
phûut,speak,,TRUE,
cheen,invite,,TRUE,
jee,meet,,TRUE,
chǔay,help,,TRUE,
thǎam,ask (a question),,TRUE,
bòok,tell,,TRUE,
rák,love,,TRUE,
noong chaay,younger brother,,TRUE,
phîi chaay,older brother,,TRUE,
phîi sâaw,younger sister,,TRUE,
khii jàkkà yaan,ride bicycle,,TRUE,
thúk wan,everyday,,TRUE,
thúk khon,everybody,,TRUE,
wát,temple,,TRUE,
mǎi,yes or no?,,TRUE,
pii,year,,TRUE,
láaw,already,,TRUE
